Country,Year,Domestic Consumption,Exports,Imports
Albania,2013,90,0,90
Albania,2014,100,0,100
Albania,2015,100,0,100
Albania,2016,105,0,105
Albania,2017,105,0,105
Albania,2018,100,0,100
Albania,2019,90,0,90
Albania,2020,100,0,100
Albania,2021,85,0,85
Albania,2022,70,0,70
Albania,2023,60,0,60
Algeria,2013,2300,0,2300
Algeria,2014,2195,0,2195
Algeria,2015,2320,0,2320
Algeria,2016,2205,0,2205
Algeria,2017,2300,0,2300
Algeria,2018,2340,0,2340
Algeria,2019,2040,0,2040
Algeria,2020,2240,0,2240
Algeria,2021,2090,0,2090
Algeria,2022,2050,0,2050
Algeria,2023,1950,0,1950
Angola,2013,27,5,0
Angola,2014,24,6,0
Angola,2015,13,12,0
Angola,2016,14,6,0
Angola,2017,13,6,0
Angola,2018,12,8,0
Angola,2019,10,22,0
Angola,2020,14,16,0
Angola,2021,12,18,0
Angola,2022,10,10,0
Angola,2023,10,15,0
Argentina,2013,685,0,685
Argentina,2014,710,0,710
Argentina,2015,741,0,741
Argentina,2016,754,0,754
Argentina,2017,775,0,775
Argentina,2018,735,0,735
Argentina,2019,859,0,859
Argentina,2020,789,0,789
Argentina,2021,906,0,906
Argentina,2022,1019,0,1019
Argentina,2023,1040,0,1040
Armenia,2013,200,0,200
Armenia,2014,180,0,180
Armenia,2015,190,0,190
Armenia,2016,170,0,170
Armenia,2017,100,0,100
Armenia,2018,200,0,200
Armenia,2019,200,0,200
Armenia,2020,180,0,180
Armenia,2021,220,0,220
Armenia,2022,240,0,240
Armenia,2023,250,0,250
Australia,2013,1615,0,1615
Australia,2014,1775,0,1775
Australia,2015,1785,0,1785
Australia,2016,1730,0,1730
Australia,2017,1900,0,1900
Australia,2018,2040,0,2040
Australia,2019,1960,0,1960
Australia,2020,2055,0,2055
Australia,2021,2305,0,2305
Australia,2022,2135,0,2135
Australia,2023,2250,0,2250
Benin,2013,0,0,0
Benin,2014,0,0,0
Benin,2015,0,0,0
Benin,2016,0,0,0
Benin,2017,0,0,0
Benin,2018,0,0,0
Benin,2019,0,0,0
Benin,2020,0,0,0
Benin,2021,0,0,0
Benin,2022,0,0,0
Benin,2023,0,0,0
Bolivia,2013,62,70,0
Bolivia,2014,55,45,0
Bolivia,2015,49,31,0
Bolivia,2016,54,21,0
Bolivia,2017,60,25,0
Bolivia,2018,62,23,0
Bolivia,2019,63,22,0
Bolivia,2020,57,23,0
Bolivia,2021,52,33,0
Bolivia,2022,50,40,0
Bolivia,2023,55,40,0
Bosnia and Herzegovina,2013,350,0,350
Bosnia and Herzegovina,2014,350,0,350
Bosnia and Herzegovina,2015,360,0,360
Bosnia and Herzegovina,2016,335,0,335
Bosnia and Herzegovina,2017,340,0,340
Bosnia and Herzegovina,2018,345,0,345
Bosnia and Herzegovina,2019,330,0,330
Bosnia and Herzegovina,2020,345,0,345
Bosnia and Herzegovina,2021,305,0,305
Bosnia and Herzegovina,2022,300,0,300
Bosnia and Herzegovina,2023,290,0,290
Brazil,2013,20210,34146,34
Brazil,2014,20420,36573,52
Brazil,2015,20855,35543,65
Brazil,2016,21625,33081,62
Brazil,2017,22420,30454,61
Brazil,2018,23200,41426,67
Brazil,2019,22994,40256,67
Brazil,2020,22280,45675,72
Brazil,2021,22340,39685,75
Brazil,2022,22450,36145,75
Brazil,2023,22560,43850,75
Burundi,2013,5,180,0
Burundi,2014,5,160,0
Burundi,2015,5,235,0
Burundi,2016,5,195,0
Burundi,2017,5,200,0
Burundi,2018,5,200,0
Burundi,2019,5,260,0
Burundi,2020,15,215,0
Burundi,2021,15,160,0
Burundi,2022,15,150,0
Burundi,2023,15,200,0
Cameroon,2013,74,350,0
Cameroon,2014,70,500,0
Cameroon,2015,80,540,0
Cameroon,2016,65,430,0
Cameroon,2017,75,350,0
Cameroon,2018,80,375,0
Cameroon,2019,80,400,0
Cameroon,2020,80,330,0
Cameroon,2021,80,190,0
Cameroon,2022,75,180,0
Cameroon,2023,80,200,0
Canada,2013,4605,0,4605
Canada,2014,4495,0,4495
Canada,2015,4545,0,4545
Canada,2016,4550,0,4550
Canada,2017,4750,0,4750
Canada,2018,4885,0,4885
Canada,2019,4830,0,4830
Canada,2020,4995,0,4995
Canada,2021,5330,0,5330
Canada,2022,5110,0,5110
Canada,2023,5400,0,5400
Central African Republic,2013,20,1,0
Central African Republic,2014,19,2,0
Central African Republic,2015,4,4,0
Central African Republic,2016,4,1,0
Central African Republic,2017,3,0,0
Central African Republic,2018,2,0,0
Central African Republic,2019,0,0,0
Central African Republic,2020,0,0,0
Central African Republic,2021,0,0,0
Central African Republic,2022,0,0,0
Central African Republic,2023,0,0,0
Chile,2013,210,0,210
Chile,2014,205,0,205
Chile,2015,250,0,250
Chile,2016,215,0,215
Chile,2017,245,0,245
Chile,2018,240,0,240
Chile,2019,245,0,245
Chile,2020,215,0,215
Chile,2021,200,0,200
Chile,2022,260,0,260
Chile,2023,225,0,225
China,2013,2181,1348,1682
China,2014,2416,1473,1889
China,2015,2850,2030,2958
China,2016,2700,1672,2542
China,2017,2900,1845,2615
China,2018,3000,1600,2625
China,2019,3600,1130,2935
China,2020,4400,685,3804
China,2021,4800,1115,4185
China,2022,5000,685,4230
China,2023,5000,1175,4150
Colombia,2013,1300,11040,455
Colombia,2014,1400,12420,230
Colombia,2015,1415,12390,265
Colombia,2016,1450,13755,360
Colombia,2017,1650,12725,775
Colombia,2018,1925,13615,1111
Colombia,2019,1775,13005,980
Colombia,2020,2080,12755,1818
Colombia,2021,2145,12365,2235
Colombia,2022,2200,10700,2285
Colombia,2023,2230,12000,2505
