Country,Year,Domestic Consumption,Exports,Imports
Brazil,2013,20210,34146,34
Brazil,2014,20420,36573,52
Brazil,2015,20855,35543,65
Brazil,2016,21625,33081,62
Brazil,2017,22420,30454,61
Brazil,2018,23200,41426,67
Brazil,2019,22994,40256,67
Brazil,2020,22280,45675,72
Brazil,2021,22340,39685,75
Brazil,2022,22450,36145,75
Brazil,2023,22560,43850,75
Colombia,2013,1300,11040,455
Colombia,2014,1400,12420,230
Colombia,2015,1415,12390,265
Colombia,2016,1450,13755,360
Colombia,2017,1650,12725,775
Colombia,2018,1925,13615,1111
Colombia,2019,1775,13005,980
Colombia,2020,2080,12755,1818
Colombia,2021,2145,12365,2235
Colombia,2022,2200,10700,2285
Colombia,2023,2230,12000,2505
India,2013,1170,5013,1152
India,2014,1191,4894,1205
India,2015,1250,5693,1202
India,2016,1200,6158,1386
India,2017,1215,6148,1472
India,2018,1250,5778,1386
India,2019,1170,5185,1430
India,2020,1180,5794,1345
India,2021,875,7258,1690
India,2022,1240,6306,1690
India,2023,1270,6336,1550
Indonesia,2013,2540,10380,970
Indonesia,2014,2900,8720,1155
Indonesia,2015,3175,9896,964
Indonesia,2016,3203,8174,743
Indonesia,2017,3560,8010,1751
Indonesia,2018,4300,6150,1676
Indonesia,2019,4900,7152,1231
Indonesia,2020,4450,7872,993
Indonesia,2021,4750,7428,985
Indonesia,2022,4770,8792,1347
Indonesia,2023,4790,6050,1720
Vietnam,2013,2008,28289,648
Vietnam,2014,2217,21567,590
Vietnam,2015,2630,29065,630
Vietnam,2016,2770,26450,1000
Vietnam,2017,2880,29907,1060
Vietnam,2018,2940,28318,1160
Vietnam,2019,3100,27326,700
Vietnam,2020,2720,25300,550
Vietnam,2021,3200,29010,550
Vietnam,2022,3200,27740,499
Vietnam,2023,3200,25000,720
