Country of origin,Aroma score,Flavor score,Aftertaste score,Acidity score,Body score,Balance score,Sweetness score,Moisture score,Mean_overall
Brazil,7.55310606060606,7.573560606060607,7.440530303030303,7.511439393939394,7.544545454545455,7.531515151515151,9.94939393939394,0.0823484848484848,6.898304924242425
Burundi,7.415,7.46,7.25,7.415,7.29,7.415,10.0,0.06,6.788125
China,7.64125,7.625625,7.484375,7.578125,7.57375,7.548125,9.91625,0.094375,6.932734375
Colombia,7.653060109289617,7.597103825136612,7.524699453551912,7.56,7.609508196721311,7.708415300546449,9.952677595628415,0.0620218579234972,6.958435792349727
Costa Rica,7.671372549019608,7.537254901960784,7.534509803921568,7.57392156862745,7.537450980392157,7.637254901960785,9.90843137254902,0.0833333333333333,6.935441176470588
Cote dIvoire,7.42,7.25,6.83,7.0,7.33,7.08,10.0,0.13,6.63
Ecuador,7.583333333333333,7.640000000000001,7.553333333333334,7.6933333333333325,6.026666666666666,6.97,8.723333333333334,0.03,6.5275
El Salvador,7.674761904761904,7.654285714285715,7.567142857142857,7.590476190476191,7.606666666666667,7.711428571428572,9.808571428571428,0.0457142857142857,6.9573809523809516
Ethiopia,7.8963636363636365,8.009090909090908,7.893863636363636,8.043636363636365,7.92409090909091,7.972272727272727,9.86340909090909,0.0829545454545454,7.210710227272727
Guatemala,7.544861878453038,7.489005524861878,7.2668508287292815,7.596408839779006,7.475745856353591,7.469889502762431,9.870883977900553,0.1022651933701657,6.851988950276242
Haiti,7.153333333333333,6.998333333333334,7.111666666666667,7.126666666666666,7.276666666666666,7.0566666666666675,9.111666666666666,0.11,6.493124999999999
Honduras,7.29245283018868,7.234150943396227,7.061509433962264,7.233584905660377,7.239245283018868,7.1639622641509435,9.660377358490566,0.1077358490566037,6.624127358490567
India,7.697857142857143,7.618571428571428,7.566428571428572,7.636428571428572,7.661428571428572,7.672857142857143,7.619285714285715,0.0378571428571428,6.688839285714285
Indonesia,7.648999999999999,7.573,7.4155,7.491,7.6315,7.52,9.9665,0.0985,6.918125
Japan,7.75,7.75,7.75,7.42,8.08,7.83,10.0,0.12,7.0874999999999995
Kenya,7.7868,7.7824,7.7132,7.866,7.7264,7.8004,9.9732,0.08,7.09105
Laos,7.503333333333333,7.5,7.28,7.3066666666666675,7.363333333333333,7.416666666666667,10.0,0.0833333333333333,6.806666666666667
Malawi,7.5672727272727265,7.387272727272728,7.257272727272727,7.408181818181817,7.338181818181818,7.371818181818182,10.0,0.1245454545454545,6.806818181818182
Mauritius,7.25,7.25,7.17,7.17,7.25,7.17,10.0,0.12,6.6725
Mexico,7.457584745762712,7.379025423728813,7.228050847457627,7.428347457627118,7.380466101694915,7.328686440677965,9.97177966101695,0.1136016949152542,6.785942796610169
Myanmar,7.30375,7.3325,7.125,7.40625,7.27,7.13375,10.0,0.01375,6.698125
Nicaragua,7.32923076923077,7.316923076923077,7.201923076923077,7.266538461538461,7.40076923076923,7.278461538461539,9.820384615384617,0.1076923076923076,6.715240384615385
Panama,7.6675,7.625,7.605,7.705,7.5825,7.875,10.0,0.07,7.01625
Papua New Guinea,8.33,8.42,7.83,8.33,8.0,8.25,10.0,0.12,7.409999999999999
Peru,7.693,7.658,7.541,7.699,7.802,7.666,9.866,0.066,6.998875
Philippines,7.364,7.231999999999999,7.302,7.266,7.298,7.4,9.866,0.074,6.72525
Rwanda,7.83,7.92,7.75,7.83,7.75,7.75,9.33,0.11,7.0337499999999995
Taiwan,7.5336,7.4636,7.395466666666667,7.415466666666666,7.45,7.426000000000001,9.9644,0.0810666666666666,6.8412
Tanzania,7.571250000000001,7.42975,7.425,7.5,7.479000000000001,7.46975,10.0,0.119,6.87421875
Thailand,7.4840625,7.528125,7.4734375,7.5971875,7.5521875,7.5240625,9.958125,0.0909375,6.901015625
Uganda,7.884166666666666,7.752777777777778,7.6225,7.708611111111111,7.720000000000001,7.6625,9.363333333333332,0.1136111111111111,6.9784375
United States,7.605977011494253,7.622528735632184,7.541609195402299,7.651609195402299,7.652413793103448,7.664137931034483,9.6432183908046,0.050919540229885,6.929051724137931
Vietnam,7.38625,7.375,7.1975,7.3625,7.5425,7.4575,9.58375,0.0675,6.746562500000001
Zambia,7.67,7.08,7.42,7.33,7.75,7.42,10.0,0.0,6.83375
