Country,Population,Exports,Imports,Exports per person,Consumption per person
India,1428627663,6336.0,1550,4.435025419215895e-06,1.0849572916326764e-06
China,1425671352,1175.0,4150,8.241731156003477e-07,2.910909301907611e-06
United States,339996563,0.0,25425,0.0,7.47801677042247e-05
Indonesia,277534122,6050.0,1720,2.179912133470925e-05,6.197436148049572e-06
Nigeria,223804632,0.0,0,0.0,0.0
Brazil,216422446,43850.0,75,0.00020261299514191794,3.46544461474204e-07
Russia,144444359,0.0,4250,0.0,2.9423094327968877e-05
Ethiopia,126527060,4820.0,0,3.809461786277181e-05,0.0
Mexico,128455567,3025.0,1900,2.354899885343233e-05,1.4791106717858323e-05
Japan,123294513,0.0,6800,0.0,5.5152494904619154e-05
Philippines,117337368,0.0,6300,0.0,5.369133556839284e-05
Egypt,112716598,0.0,300,0.0,2.6615423577634944e-06
Vietnam,98858950,25000.0,720,0.00025288555057483415,7.2831038565552235e-06
Iran,89172767,0.0,800,0.0,8.971348842410598e-06
Turkey,85816199,0.0,1530,0.0,1.782880176270683e-05
Thailand,71801279,1100.0,1030,1.532006135990976e-05,1.4345148364279137e-05
Tanzania,67438106,1270.0,6,1.8832082858317523e-05,8.897047019677569e-08
United Kingdom,67736802,0.0,4200,0.0,6.20046987160687e-05
South Africa,60414495,0.0,750,0.0,1.2414239331140648e-05
Kenya,55100586,760.0,18,1.3792956757302e-05,3.266752916203105e-07
Colombia,52085168,12000.0,2505,0.00023039188430764015,4.8094305849219876e-05
Uganda,48582334,6515.0,0,0.00013410224383208924,0.0
Algeria,45606480,0.0,1950,0.0,4.2757081888363234e-05
Argentina,45773884,0.0,1040,0.0,2.2720379157687383e-05
Canada,38781291,0.0,5400,0.0,0.00013924239912487698
Morocco,37840044,0.0,930,0.0,2.457713844095953e-05
Ukraine,36744634,0.0,1000,0.0,2.7214858093293294e-05
Angola,36684202,15.0,0,4.0889536046061463e-07,0.0
Saudi Arabia,36947025,0.0,1000,0.0,2.706577863846954e-05
Yemen,34449825,0.0,0,0.0,0.0
Ghana,34121985,0.0,0,0.0,0.0
Peru,34352719,4060.0,90,0.00011818569586878989,2.6198799576825346e-06
Malaysia,34308525,2300.0,1450,6.703873162719762e-05,4.226354819975502e-05
Madagascar,30325732,10.0,0,3.2975296358880966e-07,0.0
Venezuela,28838499,5.0,2,1.7337934266273706e-07,6.935173706509482e-08
Cameroon,28647293,200.0,0,6.981462436956958e-06,0.0
Australia,26439111,0.0,2250,0.0,8.510119723768321e-05
Taiwan,23923276,0.0,700,0.0,2.9260206670691758e-05
Sri Lanka,21893579,0.0,0,0.0,0.0
Malawi,20931751,9.0,0,4.299688067185588e-07,0.0
Zambia,20569737,0.0,0,0.0,0.0
Kazakhstan,19606633,0.0,350,0.0,1.7851101716444633e-05
Chile,19629590,0.0,225,0.0,1.1462287291787551e-05
Ecuador,18190484,451.0,426,2.4793183073083705e-05,2.34188381133784e-05
Guatemala,18092026,3169.0,360,0.00017516004011933214,1.9898268994307214e-05
Senegal,17763163,0.0,50,0.0,2.814814005816419e-06
Zimbabwe,16665409,0.0,0,0.0,0.0
Guinea,14190612,185.0,0,1.3036787983492184e-05,0.0
Rwanda,14094683,250.0,0,1.773718500799202e-05,0.0
Benin,13712828,0.0,0,0.0,0.0
Burundi,13238559,200.0,0,1.510738442152201e-05,0.0
Bolivia,12388571,40.0,0,3.228782399519686e-06,0.0
Haiti,11724763,0.0,0,0.0,0.0
Dominican Republic,11332972,15.0,0,1.3235716103419297e-06,0.0
Jordan,11337052,0.0,650,0.0,5.7334128837020415e-05
Cuba,11194449,20.0,0,1.7865997692249079e-06,0.0
Honduras,10593798,6200.0,25,0.000585248085719588,2.3598713133854356e-06
Papua New Guinea,10329931,850.0,0,8.228515756784823e-05,0.0
Togo,9053799,80.0,0,8.836069808927722e-06,0.0
Sierra Leone,8791092,50.0,0,5.687575559441307e-06,0.0
Switzerland,8796669,1850.0,3500,0.00021030687866054753,0.00039787787854698184
Laos,7633779,370.0,0,4.8468785905381853e-05,0.0
Nicaragua,7046310,2580.0,25,0.00036614909080071696,3.547956306208498e-06
Serbia,7149077,0.0,715,0.0,0.00010001291075757052
Paraguay,6861524,0.0,0,0.0,0.0
El Salvador,6364943,610.0,230,9.583746468742925e-05,3.613543750509628e-05
Singapore,6014723,0.0,100,0.0,1.6625869553759998e-05
Central African Republic,5742315,0.0,0,0.0,0.0
Liberia,5418377,0.0,0,0.0,0.0
Norway,5474360,0.0,790,0.0,0.00014430910645262643
New Zealand,5228100,0.0,560,0.0,0.00010711348290966125
Costa Rica,5212173,1210.0,170,0.00023214885614886534,3.2615954996121576e-05
Panama,4468087,36.0,85,8.057139442450428e-06,1.9023801461341284e-05
Croatia,4008617,0.0,0,0.0,0.0
Georgia,3728282,0.0,90,0.0,2.4139804875274994e-05
Uruguay,3423108,0.0,40,0.0,1.168528717177489e-05
Bosnia and Herzegovina,3210847,0.0,290,0.0,9.031884733218369e-05
Albania,2832439,0.0,60,0.0,2.1183156989435605e-05
Jamaica,2825544,10.0,0,3.5391414892141123e-06,0.0
Armenia,2777970,0.0,250,0.0,8.999377243094778e-05
Gabon,2436566,0.0,0,0.0,0.0
North Macedonia,2085679,0.0,85,0.0,4.0754114127821204e-05
Equatorial Guinea,1714671,0.0,0,0.0,0.0
Trinidad and Tobago,1534937,0.0,0,0.0,0.0
Guyana,813834,0.0,0,0.0,0.0
Montenegro,626485,0.0,35,0.0,5.5867259391685356e-05
New Caledonia,292991,0.0,0,0.0,0.0
