Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply
Brazil,2013,41800,30600,0,9068,20210,11946,34146,34,0,57200,30,34,15400,19130,1080,3516,0,66302,66302
Brazil,2014,37300,33051,0,11946,20420,9305,36573,52,0,54300,28,52,17000,19325,1095,3494,0,66298,66298
Brazil,2015,36100,31870,0,9305,20855,2372,35543,65,0,49400,28,65,13300,19750,1105,3645,0,58770,58770
Brazil,2016,45600,29325,0,2372,21625,3828,33081,62,0,56100,31,62,10500,20500,1125,3725,0,58534,58534
Brazil,2017,39500,26938,0,3828,22420,3115,30454,61,0,52100,20,61,12600,21275,1145,3496,0,55989,55989
Brazil,2018,49700,37379,0,3115,23200,5056,41426,67,0,66500,24,67,16800,22020,1180,4023,0,69682,69682
Brazil,2019,42000,36190,0,5056,22994,2373,40256,67,0,60500,26,67,18500,22065,929,4040,0,65623,65623
Brazil,2020,49700,41689,0,2373,22280,4390,45675,72,0,69900,32,72,20200,21350,930,3954,0,72345,72345
Brazil,2021,36400,35576,0,4390,22340,540,39685,75,0,58100,54,75,21700,21400,940,4055,0,62565,62565
Brazil,2022,39800,32200,0,540,22450,4620,36145,75,0,62600,45,75,22800,21500,950,3900,0,63215,63215
Brazil,2023,44900,39500,0,4620,22560,4585,43850,75,0,66300,50,75,21400,21600,960,4300,0,70995,70995
Colombia,2013,12075,10300,355,771,1300,961,11040,455,0,12075,80,0,0,1000,300,660,100,13301,13301
Colombia,2014,13300,11615,140,961,1400,671,12420,230,0,13300,90,0,0,1100,300,715,90,14491,14491
Colombia,2015,14000,11490,150,671,1415,1131,12390,265,0,14000,100,0,0,1065,350,800,115,14936,14936
Colombia,2016,14600,12700,250,1131,1450,886,13755,360,0,14600,155,0,0,1060,390,900,110,16091,16091
Colombia,2017,13825,11700,670,886,1650,1111,12725,775,0,13825,175,5,0,1200,450,850,100,15486,15486
Colombia,2018,13870,12400,975,1111,1925,552,13615,1111,0,13870,315,6,0,1475,450,900,130,16092,16092
Colombia,2019,14100,11770,845,552,1775,852,13005,980,0,14100,210,5,0,1275,500,1025,130,15632,15632
Colombia,2020,13400,11500,1670,852,2080,1235,12755,1818,0,13400,245,3,0,1480,600,1010,145,16070,16070
Colombia,2021,11800,11000,2040,1235,2145,760,12365,2235,0,11800,265,5,0,1545,600,1100,190,15270,15270
Colombia,2022,10700,9600,2100,760,2200,845,10700,2285,0,10700,200,5,0,1600,600,900,180,13745,13745
Colombia,2023,11500,10800,2300,845,2230,620,12000,2505,0,11500,200,5,0,1620,610,1000,200,14850,14850
India,2013,1703,3330,1104,1982,1170,2026,5013,1152,0,5075,16,3,3372,770,400,1667,45,8209,8209
India,2014,1630,3358,1157,2026,1191,2586,4894,1205,0,5440,11,3,3810,758,433,1525,45,8671,8671
India,2015,1725,4063,1124,2586,1250,2645,5693,1202,0,5800,5,2,4075,650,600,1625,76,9588,9588
India,2016,1583,4273,1306,2645,1200,1873,6158,1386,0,5200,5,2,3617,550,650,1880,78,9231,9231
India,2017,1583,4127,1385,1873,1215,1248,6148,1472,0,5266,4,2,3683,525,690,2017,85,8611,8611
India,2018,1583,3936,1302,1248,1250,931,5778,1386,0,5325,4,2,3742,530,720,1838,82,7959,7959
India,2019,1450,3399,1354,931,1170,973,5185,1430,0,4967,4,2,3517,500,670,1782,74,7328,7328
India,2020,1650,3818,1256,973,1180,911,5794,1345,0,5567,6,1,3917,417,763,1970,88,7885,7885
India,2021,1583,4937,1590,911,875,168,7258,1690,0,5700,11,51,4117,225,650,2310,49,8301,8301
India,2022,1667,4000,1630,168,1240,179,6306,1690,0,5867,6,10,4200,360,880,2300,50,7725,7725
India,2023,1420,4250,1500,179,1270,73,6336,1550,0,5950,6,20,4530,380,890,2080,30,7679,7679
Indonesia,2013,1900,8540,240,98,2540,48,10380,970,0,11900,40,175,10000,1930,610,1800,555,12968,12968
